episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
28,0.09375,42,22.0,10.0,9.0,9,0,6,6,12.0,11.0,2,10,9,12,7.0,6.0,8,9,9,4,13.0,12.0,4,1,7,10,10.0,9.0,2,0,6,5,10.0,9.0,3,6,3,15,9.0,8.0,5,10,0,13,,,,,,,22.0,21.0,3.0,1.0,7.0,18.0
29,0.0,42,15.0,6.0,5.0,9,11,5,10,10.0,9.0,3,17,2,9,15.0,14.0,0,13,2,1,12.0,11.0,6,11,9,19,9.0,8.0,9,15,7,9,4.0,3.0,9,4,9,1,8.0,7.0,2,19,8,18,,,,,,,13.0,12.0,3.0,11.0,4.0,0.0
30,0.078125,42,21.0,16.0,15.0,0,12,8,19,15.0,14.0,9,6,3,4,12.0,11.0,0,7,3,3,7.0,6.0,4,10,9,11,16.0,15.0,6,4,9,10,8.0,7.0,3,9,6,5,4.0,3.0,0,16,0,19,,,,,,,21.0,20.0,9.0,15.0,1.0,9.0
31,60.046875,42,,,,0,18,6,18,,,3,1,0,6,,,6,2,1,9,,,0,17,1,0,,,4,0,9,0,,,0,13,3,17,,,5,18,6,4,,,0.0,2.0,5.0,1.0,,,,,,
32,60.046875,42,,,,6,14,9,5,,,8,10,8,1,,,3,13,9,2,,,9,0,5,18,,,3,4,0,5,,,9,18,4,19,,,5,0,1,1,,,7.0,1.0,9.0,7.0,,,,,,
33,60.03125,42,,,,2,1,0,5,,,2,0,0,0,,,2,9,3,11,,,6,10,9,11,,,6,2,5,9,,,9,14,9,7,,,3,16,0,11,,,3.0,0.0,0.0,10.0,,,,,,
34,60.046875,42,,,,9,0,8,9,,,0,12,9,8,,,0,6,2,1,,,3,14,9,17,,,9,11,3,5,,,6,15,8,10,,,0,11,6,3,,,9.0,1.0,8.0,0.0,,,,,,
35,0.015625,42,19.0,15.0,14.0,6,10,5,1,13.0,12.0,6,7,9,16,5.0,4.0,8,0,9,3,4.0,3.0,7,1,9,0,19.0,18.0,0,15,4,1,13.0,12.0,8,19,3,12,5.0,4.0,5,18,6,15,,,,,,,11.0,10.0,6.0,8.0,3.0,5.0
36,60.0625,42,,,,6,10,3,16,,,2,9,6,6,,,2,18,2,0,,,0,7,3,7,,,0,16,3,10,,,3,18,5,0,,,4,10,7,1,,,0.0,19.0,3.0,5.0,,,,,,
37,60.046875,42,,,,3,18,6,13,,,3,12,9,10,,,1,1,9,3,,,6,15,4,10,,,2,1,7,19,,,3,2,3,6,,,8,1,4,1,,,9.0,14.0,5.0,18.0,,,,,,
38,60.015625,42,,,,9,15,7,18,,,9,2,6,9,,,4,18,0,8,,,6,11,3,1,,,1,10,1,0,,,8,10,7,1,,,6,0,0,4,,,5.0,10.0,6.0,5.0,,,,,,
39,0.015625,42,16.0,10.0,9.0,5,0,6,8,6.0,5.0,9,3,7,0,15.0,14.0,9,10,6,3,7.0,6.0,0,15,0,9,10.0,9.0,9,14,5,9,9.0,8.0,6,7,9,12,11.0,10.0,6,9,6,19,,,,,,,16.0,15.0,6.0,16.0,0.0,11.0
40,60.03125,42,,,,0,15,9,19,,,9,15,9,12,,,0,19,9,13,,,8,9,0,10,,,3,15,2,10,,,6,4,6,19,,,3,19,0,5,,,8.0,0.0,0.0,11.0,,,,,,
41,60.03125,42,,,,5,9,4,9,,,6,7,6,14,,,0,19,7,0,,,0,15,7,18,,,6,1,9,10,,,0,0,8,9,,,6,2,4,19,,,4.0,10.0,2.0,1.0,,,,,,
42,0.109375,42,22.0,15.0,14.0,0,16,6,12,17.0,16.0,9,12,7,0,21.0,20.0,9,2,3,16,13.0,12.0,0,13,9,10,22.0,21.0,8,1,7,19,7.0,6.0,6,19,1,18,10.0,9.0,0,10,6,13,,,,,,,16.0,15.0,6.0,5.0,4.0,18.0
43,60.03125,42,,,,7,0,8,9,,,3,6,3,10,,,7,1,5,10,,,9,8,3,4,,,8,18,0,18,,,7,18,9,15,,,6,9,0,17,,,2.0,19.0,0.0,10.0,,,,,,
44,60.03125,42,,,,9,12,9,14,,,6,0,3,9,,,3,18,8,0,,,7,1,6,7,,,3,12,4,10,,,0,14,0,16,,,7,0,3,11,,,1.0,0.0,6.0,11.0,,,,,,
45,0.015625,42,18.0,16.0,15.0,0,0,6,9,12.0,11.0,6,19,0,14,14.0,13.0,9,2,4,10,14.0,13.0,9,14,6,4,18.0,17.0,3,17,0,3,15.0,14.0,0,13,6,15,4.0,3.0,2,19,5,19,,,,,,,14.0,13.0,9.0,18.0,9.0,5.0
46,60.046875,42,,,,0,1,4,1,,,0,11,3,4,,,4,0,3,19,,,6,19,3,3,,,8,19,5,1,,,3,18,9,10,,,3,2,7,1,,,9.0,16.0,8.0,0.0,,,,,,
47,60.078125,42,,,,5,19,8,0,,,0,12,9,1,,,3,13,6,13,,,9,19,0,2,,,0,5,0,15,,,9,5,6,11,,,6,15,6,8,,,3.0,0.0,0.0,10.0,,,,,,
48,60.015625,42,,,,6,14,9,3,,,9,8,8,0,,,9,4,8,10,,,0,3,1,9,,,2,9,0,1,,,2,1,9,9,,,4,0,3,1,,,0.0,16.0,6.0,12.0,,,,,,
49,60.046875,42,,,,9,9,8,9,,,0,4,9,15,,,0,0,2,1,,,0,18,3,1,,,0,5,9,2,,,8,19,2,9,,,6,6,0,6,,,9.0,17.0,6.0,13.0,,,,,,
50,0.125,42,24.0,10.0,9.0,9,16,3,19,17.0,16.0,9,11,0,4,18.0,17.0,0,13,4,0,16.0,15.0,7,19,1,10,24.0,23.0,9,2,0,14,18.0,17.0,6,16,5,0,5.0,4.0,8,19,5,18,,,,,,,10.0,9.0,8.0,9.0,9.0,1.0
51,60.046875,42,,,,7,9,7,1,,,5,19,0,6,,,6,9,1,9,,,0,9,0,1,,,9,2,2,19,,,4,0,0,11,,,0,18,6,18,,,8.0,18.0,5.0,9.0,,,,,,
52,0.125,42,23.0,17.0,16.0,7,9,1,19,10.0,9.0,6,6,9,6,2.0,1.0,5,1,4,1,19.0,18.0,0,6,6,18,11.0,10.0,0,8,3,15,17.0,16.0,6,7,1,0,15.0,14.0,0,0,3,11,,,,,,,23.0,22.0,9.0,17.0,0.0,4.0
53,0.015625,42,20.0,15.0,14.0,7,19,2,10,16.0,15.0,1,1,6,9,13.0,12.0,3,11,9,5,19.0,18.0,9,17,6,2,19.0,18.0,6,4,3,19,20.0,19.0,4,1,0,16,13.0,12.0,5,18,2,9,,,,,,,19.0,18.0,0.0,10.0,8.0,0.0
54,60.015625,42,,,,9,13,3,19,,,5,18,0,18,,,3,2,0,17,,,3,16,4,1,,,6,3,5,0,,,6,17,6,16,,,2,10,3,14,,,6.0,11.0,9.0,9.0,,,,,,
55,60.0625,42,,,,4,10,6,7,,,0,15,3,17,,,0,13,8,1,,,9,16,6,6,,,9,13,3,14,,,3,0,6,9,,,0,10,3,15,,,3.0,3.0,0.0,17.0,,,,,,
56,60.03125,42,,,,3,15,0,4,,,9,1,3,2,,,1,19,3,16,,,9,14,4,10,,,6,4,4,9,,,6,5,0,17,,,3,4,2,0,,,9.0,10.0,0.0,11.0,,,,,,
57,60.03125,42,,,,6,2,3,4,,,3,8,2,9,,,6,1,8,1,,,6,4,3,7,,,6,17,1,9,,,5,19,3,18,,,6,11,5,10,,,6.0,7.0,6.0,8.0,,,,,,
58,60.0625,42,,,,5,10,0,14,,,3,9,9,10,,,9,15,9,2,,,5,1,5,0,,,8,10,5,9,,,7,1,2,19,,,6,0,8,9,,,9.0,6.0,2.0,9.0,,,,,,
59,60.03125,42,,,,3,4,0,8,,,5,9,9,4,,,9,1,8,19,,,3,12,0,9,,,4,19,3,0,,,0,4,6,1,,,0,13,3,6,,,0.0,6.0,4.0,18.0,,,,,,
60,60.0625,42,,,,1,0,8,19,,,7,0,6,17,,,3,4,9,3,,,0,7,3,16,,,7,9,3,11,,,9,8,6,18,,,0,1,0,17,,,3.0,18.0,2.0,1.0,,,,,,
61,0.21875,42,21.0,8.0,7.0,6,13,7,19,10.0,9.0,0,13,3,17,7.0,6.0,5,0,3,4,9.0,8.0,3,10,6,15,21.0,20.0,9,15,0,16,18.0,17.0,0,8,6,17,12.0,11.0,9,19,7,10,,,,,,,8.0,7.0,6.0,5.0,4.0,0.0
62,60.046875,42,,,,3,12,5,9,,,9,11,4,9,,,6,10,0,18,,,3,6,6,18,,,0,1,0,19,,,6,14,3,16,,,1,18,9,1,,,7.0,10.0,9.0,10.0,,,,,,
63,0.328125,42,23.0,11.0,10.0,9,15,3,19,17.0,16.0,6,0,3,13,7.0,6.0,1,10,3,6,18.0,17.0,9,1,0,9,11.0,10.0,8,9,9,0,3.0,2.0,6,11,7,10,13.0,12.0,0,16,0,4,,,,,,,23.0,22.0,9.0,18.0,5.0,0.0
64,60.046875,42,,,,3,18,9,9,,,4,10,9,13,,,4,9,0,5,,,9,10,6,9,,,0,17,2,1,,,3,3,1,9,,,1,0,3,1,,,2.0,9.0,4.0,18.0,,,,,,
65,60.03125,42,,,,9,19,9,1,,,6,4,9,3,,,6,19,6,9,,,4,19,6,0,,,0,1,6,11,,,0,9,3,15,,,2,19,6,13,,,2.0,9.0,8.0,9.0,,,,,,
66,0.0,42,16.0,9.0,8.0,6,7,9,12,15.0,14.0,0,6,9,1,11.0,10.0,7,0,3,6,2.0,1.0,3,10,4,10,4.0,3.0,7,9,5,10,4.0,3.0,5,18,7,19,13.0,12.0,9,6,6,15,,,,,,,16.0,15.0,7.0,18.0,3.0,7.0
67,0.0,42,17.0,4.0,3.0,3,10,3,7,5.0,4.0,5,0,6,3,4.0,3.0,3,17,4,19,6.0,5.0,9,9,5,10,5.0,4.0,3,3,5,1,15.0,14.0,6,4,0,12,12.0,11.0,0,13,0,2,,,,,,,17.0,16.0,9.0,2.0,3.0,12.0
68,60.03125,42,,,,3,14,3,7,,,9,19,3,4,,,9,10,1,9,,,6,8,2,18,,,6,9,0,2,,,3,13,6,6,,,1,0,9,11,,,0.0,0.0,6.0,16.0,,,,,,
69,60.03125,42,,,,3,19,0,19,,,3,16,6,17,,,3,3,5,9,,,0,16,6,9,,,6,5,6,18,,,6,1,9,17,,,0,0,8,10,,,3.0,0.0,6.0,7.0,,,,,,
70,0.0,42,22.0,11.0,10.0,4,10,9,15,14.0,13.0,9,18,6,8,22.0,21.0,7,18,8,0,13.0,12.0,6,11,4,1,5.0,4.0,9,8,9,4,13.0,12.0,5,1,0,8,13.0,12.0,6,19,0,13,,,,,,,11.0,10.0,9.0,5.0,3.0,1.0
71,0.015625,42,22.0,20.0,19.0,7,0,0,12,14.0,13.0,8,10,9,18,6.0,5.0,3,19,0,17,14.0,13.0,6,11,3,1,22.0,21.0,6,0,8,19,17.0,16.0,9,15,7,1,12.0,11.0,3,16,7,9,,,,,,,21.0,20.0,5.0,0.0,9.0,16.0
72,60.046875,42,,,,6,9,9,15,,,3,8,4,18,,,0,0,9,5,,,0,14,9,18,,,3,2,9,3,,,0,4,4,1,,,5,0,3,5,,,8.0,0.0,9.0,17.0,,,,,,
73,0.046875,42,22.0,11.0,10.0,3,15,8,10,13.0,12.0,0,8,2,18,4.0,3.0,8,9,9,11,12.0,11.0,6,11,3,19,19.0,18.0,0,9,8,19,22.0,21.0,1,19,2,1,11.0,10.0,6,0,0,4,,,,,,,15.0,14.0,2.0,9.0,5.0,18.0
74,60.046875,42,,,,0,6,7,18,,,3,11,6,18,,,9,14,6,12,,,0,5,7,19,,,3,10,0,0,,,0,12,9,4,,,9,12,7,1,,,6.0,14.0,3.0,13.0,,,,,,
75,60.046875,42,,,,8,9,3,19,,,3,12,0,0,,,0,5,9,14,,,9,9,5,1,,,2,1,2,18,,,0,11,6,14,,,6,8,5,10,,,9.0,3.0,0.0,3.0,,,,,,
76,60.046875,42,,,,7,18,3,16,,,3,14,9,2,,,6,17,5,9,,,9,7,3,8,,,6,6,8,0,,,6,13,9,8,,,2,10,3,2,,,2.0,1.0,6.0,18.0,,,,,,
77,0.296875,42,23.0,23.0,22.0,4,0,6,14,9.0,8.0,3,14,0,9,10.0,9.0,0,13,3,7,5.0,4.0,2,19,6,19,5.0,4.0,5,19,3,17,6.0,5.0,9,6,8,10,11.0,10.0,9,4,5,10,,,,,,,9.0,8.0,6.0,4.0,1.0,1.0
78,60.046875,42,,,,9,19,6,2,,,6,10,1,1,,,3,2,9,3,,,7,19,6,17,,,3,15,7,1,,,5,10,6,5,,,0,15,0,6,,,0.0,13.0,3.0,13.0,,,,,,
79,0.0,42,17.0,9.0,8.0,9,10,3,8,12.0,11.0,1,19,1,10,11.0,10.0,3,7,6,0,14.0,13.0,0,15,0,2,12.0,11.0,0,11,3,3,12.0,11.0,3,10,4,0,16.0,15.0,0,9,9,15,,,,,,,17.0,16.0,4.0,19.0,0.0,7.0
80,60.015625,42,,,,6,9,5,18,,,9,6,9,17,,,3,7,3,1,,,4,0,3,8,,,3,16,9,8,,,9,15,3,12,,,7,10,2,1,,,5.0,0.0,6.0,1.0,,,,,,
81,60.03125,42,,,,3,5,6,4,,,9,7,6,7,,,9,9,6,11,,,3,3,0,2,,,5,10,3,2,,,9,18,9,3,,,7,9,2,1,,,1.0,19.0,1.0,0.0,,,,,,
82,0.0,42,26.0,11.0,10.0,3,8,6,3,7.0,6.0,9,5,8,0,16.0,15.0,0,0,6,9,19.0,18.0,3,0,3,18,18.0,17.0,0,7,9,3,14.0,13.0,6,1,4,10,12.0,11.0,2,10,9,14,,,,,,,26.0,25.0,0.0,18.0,8.0,1.0
83,60.0625,42,,,,9,19,8,1,,,6,4,4,9,,,6,14,1,1,,,2,10,0,19,,,8,18,6,1,,,6,13,3,5,,,9,8,0,11,,,2.0,18.0,3.0,17.0,,,,,,
84,0.640625,42,21.0,18.0,17.0,3,4,9,15,16.0,15.0,9,14,7,1,20.0,19.0,8,0,0,11,4.0,3.0,5,1,3,2,19.0,18.0,9,12,0,5,11.0,10.0,3,18,2,9,21.0,20.0,0,16,6,2,,,,,,,14.0,13.0,6.0,11.0,0.0,4.0
85,60.03125,42,,,,0,7,9,2,,,9,18,0,12,,,4,0,6,9,,,2,18,3,12,,,5,1,8,0,,,8,1,9,8,,,3,4,6,16,,,0.0,5.0,1.0,18.0,,,,,,
86,60.015625,42,,,,9,17,3,1,,,3,3,0,13,,,4,18,9,4,,,3,13,0,18,,,2,0,0,12,,,3,16,5,0,,,0,17,2,19,,,0.0,0.0,0.0,3.0,,,,,,
87,0.171875,42,18.0,17.0,16.0,3,15,2,0,14.0,13.0,3,18,3,5,16.0,15.0,5,19,6,5,18.0,17.0,8,0,2,9,7.0,6.0,4,9,9,10,15.0,14.0,9,1,4,10,17.0,16.0,5,10,9,4,,,,,,,18.0,17.0,3.0,6.0,2.0,18.0
88,0.0,42,18.0,7.0,6.0,3,6,4,1,12.0,11.0,2,0,9,4,11.0,10.0,7,9,6,18,2.0,1.0,2,9,1,9,18.0,17.0,9,11,0,17,7.0,6.0,4,10,6,6,12.0,11.0,0,5,3,5,,,,,,,7.0,6.0,6.0,15.0,4.0,19.0
89,60.015625,42,,,,0,16,0,3,,,0,2,0,17,,,9,10,0,12,,,0,10,6,17,,,0,1,6,7,,,9,12,4,10,,,1,1,2,9,,,8.0,18.0,6.0,2.0,,,,,,
90,0.140625,42,29.0,6.0,5.0,6,4,4,1,10.0,9.0,6,15,0,18,7.0,6.0,9,2,9,8,4.0,3.0,4,19,7,19,29.0,28.0,0,0,9,19,10.0,9.0,3,0,9,3,12.0,11.0,5,10,3,1,,,,,,,12.0,11.0,2.0,0.0,6.0,7.0
91,60.0625,42,,,,2,10,9,18,,,2,9,0,9,,,9,10,3,9,,,6,0,7,1,,,4,0,8,18,,,9,16,0,17,,,6,5,3,4,,,9.0,9.0,5.0,19.0,,,,,,
92,60.046875,42,,,,8,9,3,4,,,0,13,8,19,,,6,5,0,9,,,3,2,9,3,,,1,19,0,3,,,5,1,7,1,,,3,16,3,8,,,6.0,9.0,3.0,12.0,,,,,,
93,60.03125,42,,,,0,2,7,1,,,6,17,8,19,,,0,19,3,4,,,6,12,0,14,,,7,0,9,7,,,9,2,0,17,,,6,18,6,4,,,3.0,2.0,2.0,1.0,,,,,,
94,60.015625,42,,,,0,14,5,0,,,8,0,9,19,,,0,16,2,18,,,6,13,0,0,,,6,16,9,11,,,0,6,0,1,,,1,0,6,0,,,8.0,9.0,6.0,3.0,,,,,,
95,60.03125,42,,,,6,3,5,18,,,3,13,0,19,,,0,14,6,8,,,6,2,1,1,,,9,8,2,19,,,0,10,6,19,,,9,6,0,5,,,3.0,16.0,3.0,19.0,,,,,,
96,60.015625,42,,,,6,4,0,2,,,0,15,0,6,,,3,2,6,5,,,3,7,0,18,,,6,12,2,0,,,9,17,9,2,,,9,1,9,5,,,1.0,9.0,2.0,10.0,,,,,,
97,60.03125,42,,,,6,7,5,10,,,6,6,7,0,,,1,1,7,18,,,6,0,6,1,,,5,9,2,19,,,3,13,6,19,,,7,10,9,18,,,6.0,14.0,0.0,17.0,,,,,,
98,0.09375,42,23.0,17.0,16.0,9,11,3,17,17.0,16.0,5,1,3,15,2.0,1.0,9,13,9,12,10.0,9.0,0,1,0,10,23.0,22.0,0,4,7,19,4.0,3.0,8,9,9,7,7.0,6.0,3,9,6,12,,,,,,,10.0,9.0,3.0,16.0,5.0,9.0
99,60.03125,42,,,,3,13,1,0,,,0,18,1,10,,,6,15,9,10,,,4,9,9,3,,,0,17,9,18,,,3,9,9,9,,,9,15,2,9,,,2.0,18.0,1.0,18.0,,,,,,
100,0.59375,42,17.0,6.0,5.0,4,9,0,10,6.0,5.0,9,6,7,9,16.0,15.0,7,1,6,11,12.0,11.0,6,10,7,0,10.0,9.0,9,5,5,10,17.0,16.0,3,11,8,0,14.0,13.0,3,15,9,14,,,,,,,9.0,8.0,3.0,7.0,5.0,1.0
