episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_8_steps,agent_8_total_distance,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_steps,agent_9_total_distance,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_10_steps,agent_10_total_distance,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_11_steps,agent_11_total_distance,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
10,60.046875,42,,,,8,1,8,9,,,0,4,0,19,,,1,0,3,2,,,4,19,9,11,,,1,1,9,18,,,3,6,6,3,,,6,12,3,19,,,0,16,3,8,,,6,14,6,7,,,0,11,0,2,,,6.0,4.0,0.0,17.0,,,,,,
11,60.03125,42,,,,9,15,9,12,,,3,16,0,18,,,4,10,6,2,,,4,9,5,18,,,8,0,8,10,,,0,7,2,18,,,0,9,9,14,,,2,19,3,6,,,4,18,5,19,,,6,13,5,9,,,3.0,19.0,9.0,2.0,,,,,,
12,60.046875,42,,,,3,18,3,4,,,3,1,0,12,,,0,2,6,13,,,3,10,0,13,,,8,19,3,0,,,0,1,2,9,,,9,7,6,12,,,5,18,7,0,,,0,16,9,12,,,3,3,7,19,,,6.0,0.0,3.0,5.0,,,,,,
13,60.015625,42,,,,0,12,3,3,,,6,7,9,0,,,9,10,4,1,,,9,17,8,10,,,2,0,9,15,,,2,1,3,4,,,0,4,1,10,,,0,16,9,14,,,6,0,6,9,,,5,19,3,1,,,3.0,11.0,6.0,8.0,,,,,,
14,60.03125,42,,,,5,1,9,16,,,9,9,0,17,,,2,10,9,7,,,9,19,0,10,,,9,12,7,9,,,1,0,9,2,,,0,19,1,19,,,5,10,0,13,,,0,5,5,9,,,3,2,4,9,,,3.0,18.0,3.0,4.0,,,,,,
15,60.03125,42,,,,0,2,2,18,,,7,19,0,0,,,3,6,9,12,,,6,12,9,13,,,3,15,2,1,,,3,11,0,3,,,9,6,0,14,,,0,10,0,7,,,7,1,9,0,,,7,9,9,7,,,3.0,12.0,0.0,17.0,,,,,,
16,60.03125,42,,,,7,9,8,0,,,1,0,3,5,,,3,10,9,16,,,6,5,4,19,,,6,19,5,0,,,9,5,3,18,,,0,5,0,16,,,1,9,9,12,,,3,0,0,1,,,3,3,2,0,,,9.0,19.0,0.0,15.0,,,,,,
17,60.0625,42,,,,0,2,1,10,,,6,14,9,4,,,9,16,8,10,,,0,14,6,18,,,3,2,0,9,,,5,0,7,1,,,9,11,8,19,,,6,16,0,15,,,7,18,3,18,,,6,3,6,1,,,3.0,16.0,3.0,14.0,,,,,,
18,60.046875,42,,,,9,16,9,11,,,3,2,4,19,,,0,15,0,2,,,4,18,6,5,,,5,0,6,0,,,6,12,0,17,,,3,4,6,9,,,9,14,9,1,,,5,9,0,12,,,3,1,6,19,,,9.0,15.0,0.0,16.0,,,,,,
19,60.015625,42,,,,7,9,4,9,,,3,16,6,9,,,0,0,8,1,,,9,16,9,2,,,0,19,0,2,,,6,5,6,12,,,1,1,0,12,,,9,12,3,1,,,7,1,9,0,,,8,10,2,10,,,3.0,18.0,8.0,9.0,,,,,,
20,60.03125,42,,,,4,1,3,15,,,2,0,0,13,,,3,6,3,11,,,5,10,9,11,,,7,18,3,17,,,6,6,6,11,,,9,12,9,15,,,9,4,2,19,,,7,10,4,0,,,6,5,2,9,,,3.0,1.0,2.0,1.0,,,,,,
21,60.015625,42,,,,9,19,0,16,,,7,9,1,9,,,9,1,8,19,,,8,18,3,4,,,9,15,3,3,,,0,12,9,11,,,9,6,9,10,,,0,7,6,5,,,4,10,0,19,,,6,4,0,18,,,3.0,9.0,3.0,1.0,,,,,,
22,60.046875,42,,,,6,2,3,17,,,0,17,6,4,,,4,0,5,1,,,0,13,6,14,,,5,18,8,10,,,0,2,3,13,,,6,18,3,4,,,0,6,9,18,,,1,9,5,0,,,1,0,7,1,,,9.0,0.0,9.0,5.0,,,,,,
23,60.0625,42,,,,8,1,6,2,,,9,2,9,14,,,5,18,3,16,,,0,5,3,0,,,4,19,0,0,,,1,1,3,11,,,9,7,9,11,,,2,1,5,9,,,2,0,0,11,,,2,9,0,10,,,6.0,10.0,9.0,0.0,,,,,,
24,60.046875,42,,,,0,12,3,5,,,0,6,8,10,,,3,14,6,3,,,9,11,8,0,,,6,15,6,8,,,0,11,6,10,,,9,1,6,7,,,8,9,7,1,,,9,8,0,15,,,2,1,8,19,,,9.0,17.0,5.0,18.0,,,,,,
25,60.03125,42,,,,3,5,2,18,,,5,1,0,7,,,9,16,0,16,,,9,3,3,18,,,9,0,4,10,,,4,1,0,19,,,8,0,3,16,,,3,12,6,6,,,6,15,2,0,,,6,10,3,7,,,2.0,9.0,3.0,10.0,,,,,,
26,60.03125,42,,,,5,0,9,14,,,3,10,6,13,,,7,1,9,10,,,3,5,9,3,,,3,18,4,10,,,3,12,7,19,,,1,1,3,6,,,6,15,4,1,,,2,1,5,18,,,3,2,9,15,,,8.0,1.0,9.0,2.0,,,,,,
27,60.046875,42,,,,4,18,7,1,,,6,11,0,4,,,1,10,6,5,,,8,10,6,16,,,6,0,5,0,,,5,10,9,3,,,7,18,9,10,,,6,9,0,15,,,0,8,9,14,,,3,1,6,7,,,1.0,0.0,0.0,11.0,,,,,,
28,60.03125,42,,,,6,8,3,15,,,7,0,6,4,,,6,3,3,19,,,0,9,8,0,,,5,9,9,19,,,9,12,9,13,,,6,19,0,10,,,0,15,2,10,,,9,15,0,5,,,0,19,0,11,,,8.0,9.0,6.0,7.0,,,,,,
29,60.015625,42,,,,0,19,9,10,,,0,15,8,9,,,6,1,4,19,,,0,0,2,1,,,6,2,6,5,,,4,10,0,16,,,4,9,9,12,,,6,14,9,2,,,5,9,0,13,,,7,0,8,1,,,7.0,18.0,6.0,19.0,,,,,,
30,60.046875,42,,,,0,10,9,8,,,4,18,8,18,,,6,12,7,18,,,7,0,6,9,,,3,16,2,19,,,9,10,8,9,,,7,19,3,10,,,1,18,5,10,,,6,13,3,4,,,3,6,0,18,,,7.0,1.0,9.0,15.0,,,,,,
31,60.03125,42,,,,0,17,3,9,,,0,10,8,0,,,9,12,6,7,,,6,0,4,10,,,3,18,0,16,,,7,1,3,11,,,3,12,6,11,,,0,14,9,18,,,7,0,0,0,,,1,0,6,19,,,9.0,14.0,9.0,2.0,,,,,,
32,0.3125,42,18.0,5.0,4.0,3,17,5,19,13.0,12.0,0,13,0,1,15.0,14.0,2,19,0,11,8.0,7.0,9,2,4,0,18.0,17.0,9,5,6,19,15.0,14.0,6,9,8,19,8.0,7.0,0,14,3,18,10.0,9.0,4,10,3,2,16.0,15.0,6,4,9,16,7.0,6.0,0,3,4,1,,,,,,,11.0,10.0,9.0,14.0,6.0,15.0
33,60.03125,42,,,,3,4,9,19,,,3,19,0,5,,,0,1,9,5,,,3,3,6,15,,,5,1,3,0,,,9,10,9,1,,,7,1,6,13,,,8,0,0,2,,,5,19,0,15,,,0,12,6,11,,,3.0,13.0,6.0,8.0,,,,,,
34,60.015625,42,,,,0,10,8,10,,,6,14,1,9,,,9,8,0,1,,,9,4,9,9,,,0,3,3,1,,,2,9,6,12,,,2,1,0,4,,,4,0,0,0,,,0,16,0,18,,,9,3,0,5,,,8.0,0.0,8.0,19.0,,,,,,
35,0.0625,42,25.0,16.0,15.0,9,17,0,13,14.0,13.0,8,9,7,19,9.0,8.0,9,15,6,16,25.0,24.0,2,1,8,19,7.0,6.0,3,1,9,1,24.0,23.0,9,2,3,19,8.0,7.0,2,9,0,4,11.0,10.0,0,6,4,0,9.0,8.0,6,13,1,10,16.0,15.0,9,16,0,14,,,,,,,9.0,8.0,6.0,6.0,9.0,11.0
36,0.140625,42,23.0,12.0,11.0,5,0,0,6,14.0,13.0,5,18,1,9,16.0,15.0,7,9,0,1,4.0,3.0,5,19,2,19,9.0,8.0,6,9,0,11,16.0,15.0,0,9,6,18,12.0,11.0,9,2,5,9,23.0,22.0,4,0,9,17,19.0,18.0,0,18,6,6,21.0,20.0,8,18,5,1,,,,,,,17.0,16.0,6.0,16.0,7.0,1.0
37,60.046875,42,,,,0,6,3,11,,,0,8,0,10,,,6,7,7,19,,,0,0,1,1,,,0,4,9,17,,,1,19,6,4,,,9,6,5,18,,,4,1,8,0,,,6,18,2,10,,,3,15,6,9,,,1.0,0.0,9.0,5.0,,,,,,
38,60.0625,42,,,,6,2,6,11,,,3,19,0,18,,,0,16,0,17,,,2,9,4,1,,,9,13,5,0,,,5,18,6,16,,,3,2,3,14,,,3,16,9,9,,,6,3,4,10,,,6,17,0,15,,,2.0,10.0,0.0,13.0,,,,,,
39,60.015625,42,,,,9,16,6,9,,,0,15,3,15,,,9,13,0,17,,,3,0,9,1,,,0,10,1,19,,,3,3,9,14,,,6,7,6,4,,,3,17,6,5,,,8,1,3,4,,,6,6,9,10,,,3.0,14.0,0.0,4.0,,,,,,
40,60.03125,42,,,,3,2,6,17,,,3,16,5,19,,,4,10,6,11,,,4,9,6,7,,,0,17,3,4,,,2,0,2,9,,,0,11,8,1,,,6,2,3,7,,,3,8,1,9,,,6,1,3,18,,,6.0,4.0,5.0,10.0,,,,,,
41,60.046875,42,,,,6,8,9,2,,,5,10,5,0,,,3,9,5,9,,,9,15,2,19,,,5,1,8,9,,,8,10,2,9,,,7,1,3,4,,,6,0,9,1,,,9,6,3,12,,,0,14,4,19,,,9.0,10.0,0.0,4.0,,,,,,
42,60.015625,42,,,,0,13,1,0,,,0,6,7,0,,,0,8,3,4,,,9,4,0,7,,,9,1,7,9,,,8,19,9,8,,,0,9,0,1,,,3,0,3,18,,,6,1,6,17,,,3,6,9,3,,,4.0,18.0,3.0,16.0,,,,,,
43,60.03125,42,,,,3,11,9,19,,,6,18,4,0,,,0,17,7,19,,,2,1,3,17,,,6,5,3,4,,,6,13,6,15,,,0,13,0,16,,,5,0,6,17,,,3,10,7,10,,,9,15,3,12,,,0.0,8.0,9.0,11.0,,,,,,
44,60.03125,42,,,,6,10,3,16,,,3,6,9,1,,,0,1,9,10,,,6,14,9,18,,,1,18,9,15,,,7,10,6,0,,,5,9,1,10,,,4,9,8,9,,,0,18,6,11,,,6,18,0,16,,,0.0,19.0,5.0,0.0,,,,,,
45,0.53125,42,26.0,26.0,25.0,9,1,0,17,11.0,10.0,3,13,3,3,9.0,8.0,3,6,1,0,5.0,4.0,0,9,2,9,10.0,9.0,9,0,9,9,6.0,5.0,7,10,9,13,2.0,1.0,0,4,0,5,13.0,12.0,3,18,6,9,12.0,11.0,4,10,2,1,4.0,3.0,4,9,1,9,,,,,,,16.0,15.0,3.0,19.0,9.0,10.0
46,60.015625,42,,,,3,1,9,1,,,1,9,9,3,,,4,18,6,9,,,9,19,6,0,,,6,4,6,11,,,6,19,3,15,,,4,19,6,13,,,0,1,8,9,,,0,9,7,18,,,2,19,6,7,,,2.0,9.0,0.0,6.0,,,,,,
47,60.046875,42,,,,7,0,7,19,,,3,10,6,15,,,7,9,9,2,,,5,18,5,0,,,9,6,3,17,,,3,7,9,9,,,9,12,3,3,,,9,1,6,4,,,3,6,0,13,,,4,10,3,12,,,5.0,10.0,6.0,3.0,,,,,,
48,60.03125,42,,,,4,19,3,13,,,9,2,1,0,,,5,10,0,0,,,5,1,3,7,,,0,12,3,4,,,0,2,1,9,,,3,14,2,18,,,9,19,6,6,,,9,10,9,11,,,6,8,6,16,,,6.0,9.0,3.0,19.0,,,,,,
49,60.046875,42,,,,3,16,6,18,,,3,3,9,17,,,0,16,8,10,,,6,5,6,7,,,6,1,9,5,,,0,0,4,10,,,3,0,9,18,,,0,19,7,18,,,6,17,6,11,,,5,9,9,8,,,6.0,9.0,5.0,1.0,,,,,,
50,60.03125,42,,,,6,19,8,10,,,3,1,3,19,,,9,15,6,11,,,6,8,6,0,,,8,0,3,16,,,4,1,9,16,,,9,4,0,12,,,0,8,9,18,,,0,13,0,17,,,5,0,8,19,,,7.0,0.0,7.0,1.0,,,,,,
51,60.0625,42,,,,9,16,4,18,,,7,9,9,5,,,6,9,9,18,,,3,8,9,3,,,0,0,4,1,,,0,14,3,5,,,3,2,9,17,,,0,4,2,9,,,5,0,3,15,,,8,0,0,8,,,9.0,15.0,8.0,9.0,,,,,,
52,60.03125,42,,,,6,11,0,4,,,0,9,0,6,,,1,19,3,11,,,6,0,9,14,,,5,18,0,5,,,8,10,3,10,,,2,18,0,12,,,9,11,9,12,,,3,19,6,14,,,8,19,7,18,,,2.0,1.0,6.0,18.0,,,,,,
53,60.03125,42,,,,6,12,0,11,,,7,19,6,8,,,0,0,9,3,,,9,4,3,19,,,7,1,9,14,,,3,13,5,1,,,8,9,2,18,,,3,12,6,14,,,0,5,5,10,,,9,9,0,3,,,2.0,1.0,7.0,18.0,,,,,,
54,60.046875,42,,,,3,14,8,0,,,6,17,9,8,,,9,7,3,2,,,6,6,6,18,,,6,13,6,4,,,2,10,4,0,,,2,1,0,13,,,3,16,2,19,,,9,2,5,19,,,5,9,9,6,,,3.0,8.0,9.0,4.0,,,,,,
55,60.015625,42,,,,1,1,3,2,,,6,14,7,19,,,0,9,3,15,,,3,7,0,15,,,4,0,0,13,,,6,19,6,2,,,3,17,9,3,,,8,10,6,17,,,5,10,7,1,,,9,19,6,5,,,6.0,10.0,0.0,6.0,,,,,,
56,60.046875,42,,,,3,13,1,10,,,4,19,6,0,,,9,10,0,2,,,1,19,3,3,,,3,7,4,0,,,0,15,9,15,,,0,11,6,9,,,3,10,9,6,,,0,9,3,16,,,0,7,7,10,,,3.0,8.0,5.0,0.0,,,,,,
57,60.046875,42,,,,5,18,3,3,,,9,17,5,10,,,3,1,9,18,,,3,8,7,9,,,9,8,1,19,,,3,12,6,4,,,2,1,6,7,,,6,1,6,11,,,3,5,0,2,,,9,7,3,2,,,9.0,9.0,9.0,3.0,,,,,,
58,60.03125,42,,,,2,1,2,10,,,3,2,8,1,,,3,5,6,3,,,1,0,8,0,,,0,18,6,9,,,3,8,3,18,,,9,5,9,3,,,0,0,4,10,,,3,0,9,14,,,0,7,9,19,,,6.0,1.0,6.0,4.0,,,,,,
59,60.046875,42,,,,6,14,3,5,,,2,10,0,11,,,8,18,3,17,,,6,13,6,11,,,9,8,3,4,,,2,18,9,14,,,8,1,8,0,,,4,9,5,1,,,1,1,9,12,,,0,19,3,18,,,6.0,1.0,0.0,16.0,,,,,,
60,60.015625,42,,,,0,4,4,0,,,9,12,2,18,,,9,15,5,1,,,7,1,8,1,,,0,11,3,4,,,3,2,9,2,,,0,5,0,12,,,2,9,6,9,,,6,2,3,12,,,0,7,8,0,,,9.0,18.0,9.0,8.0,,,,,,
61,60.0625,42,,,,6,16,3,1,,,4,0,0,13,,,1,18,9,4,,,9,17,0,18,,,3,3,0,12,,,4,18,5,0,,,3,13,2,19,,,2,0,0,3,,,3,16,3,6,,,0,17,3,15,,,0.0,0.0,3.0,18.0,,,,,,
62,60.015625,42,,,,5,19,4,10,,,8,0,9,4,,,4,9,6,15,,,9,1,3,6,,,5,10,7,9,,,2,18,9,11,,,2,0,0,5,,,3,5,4,19,,,6,5,4,1,,,2,9,6,18,,,9.0,10.0,1.0,9.0,,,,,,
63,60.046875,42,,,,0,17,8,18,,,6,6,0,3,,,0,5,0,12,,,3,5,6,17,,,0,16,6,7,,,0,2,4,10,,,9,10,2,9,,,0,10,6,2,,,0,1,2,0,,,9,12,6,4,,,1.0,1.0,6.0,15.0,,,,,,
64,60.046875,42,,,,9,2,9,3,,,4,19,3,1,,,0,0,2,10,,,3,0,2,9,,,5,10,9,10,,,6,7,6,0,,,4,1,4,0,,,0,18,9,16,,,9,8,6,5,,,7,19,9,9,,,9.0,19.0,9.0,18.0,,,,,,
65,60.046875,42,,,,0,9,1,19,,,3,9,5,1,,,7,1,3,16,,,8,18,6,9,,,0,17,8,19,,,3,4,9,3,,,5,19,0,3,,,8,9,3,8,,,0,13,3,12,,,6,5,0,2,,,3.0,2.0,6.0,17.0,,,,,,
66,60.03125,42,,,,0,19,0,17,,,6,12,6,4,,,7,0,2,1,,,9,2,8,0,,,6,18,0,16,,,3,2,6,13,,,7,1,6,16,,,8,19,0,6,,,3,4,1,0,,,0,14,8,9,,,9.0,7.0,5.0,0.0,,,,,,
67,60.03125,42,,,,0,14,0,10,,,9,19,9,6,,,2,18,3,16,,,0,0,5,18,,,9,11,0,19,,,0,1,6,8,,,6,0,1,1,,,6,3,2,19,,,3,13,6,19,,,6,2,0,5,,,9.0,8.0,3.0,19.0,,,,,,
68,60.03125,42,,,,6,4,0,18,,,0,15,2,0,,,3,2,9,2,,,3,7,9,5,,,6,12,2,10,,,9,17,6,7,,,9,1,6,6,,,1,9,1,1,,,0,2,6,0,,,0,6,5,9,,,6.0,5.0,3.0,13.0,,,,,,
69,60.03125,42,,,,7,10,9,11,,,6,14,5,1,,,5,10,9,13,,,7,0,0,1,,,7,18,0,4,,,6,1,8,9,,,2,19,3,9,,,6,19,5,9,,,9,18,3,17,,,0,17,3,15,,,3.0,16.0,9.0,12.0,,,,,,
70,60.03125,42,,,,0,10,2,18,,,7,19,1,0,,,9,7,1,10,,,6,12,9,10,,,3,13,9,3,,,0,18,9,18,,,6,15,9,9,,,4,9,2,9,,,0,17,1,18,,,3,9,3,7,,,9.0,15.0,9.0,6.0,,,,,,
71,60.03125,42,,,,7,1,8,0,,,6,10,9,14,,,9,5,6,2,,,3,11,3,19,,,3,15,0,12,,,5,1,9,8,,,0,10,6,17,,,7,9,9,4,,,6,11,9,3,,,7,0,8,9,,,5.0,10.0,5.0,0.0,,,,,,
72,60.015625,42,,,,0,11,8,10,,,0,0,6,19,,,1,10,9,12,,,3,17,9,6,,,7,9,6,8,,,4,0,3,13,,,0,2,3,5,,,1,18,3,8,,,9,17,6,6,,,9,18,6,2,,,3.0,11.0,6.0,3.0,,,,,,
73,60.046875,42,,,,3,12,3,11,,,3,15,3,10,,,0,1,3,13,,,6,5,7,19,,,6,2,0,15,,,9,12,3,6,,,5,0,0,18,,,4,9,3,3,,,0,7,6,15,,,1,9,0,5,,,3.0,7.0,0.0,2.0,,,,,,
74,60.046875,42,,,,9,14,4,10,,,7,0,1,10,,,2,9,9,17,,,1,9,1,1,,,0,11,5,9,,,4,9,0,6,,,7,10,4,0,,,6,3,2,18,,,9,6,0,14,,,3,7,0,5,,,3.0,0.0,0.0,0.0,,,,,,
75,60.03125,42,,,,4,10,0,15,,,0,10,3,2,,,9,15,3,4,,,2,9,7,18,,,6,11,9,5,,,6,14,7,19,,,4,19,9,8,,,9,6,9,18,,,0,12,6,7,,,2,1,9,17,,,2.0,10.0,3.0,9.0,,,,,,
76,60.015625,42,,,,9,14,8,18,,,6,4,9,2,,,0,8,7,9,,,3,15,6,7,,,0,15,3,14,,,9,13,5,18,,,3,3,5,9,,,1,19,0,19,,,6,0,0,9,,,3,17,2,10,,,0.0,11.0,4.0,0.0,,,,,,
77,60.015625,42,,,,0,18,0,3,,,0,12,7,19,,,9,2,0,5,,,3,11,1,10,,,6,3,6,5,,,5,9,9,13,,,7,1,3,15,,,3,2,0,13,,,9,0,2,1,,,3,14,9,7,,,7.0,18.0,7.0,0.0,,,,,,
78,60.015625,42,,,,0,11,2,9,,,3,12,9,5,,,2,18,6,18,,,1,0,0,15,,,9,2,6,2,,,6,7,7,9,,,6,11,3,7,,,3,15,5,18,,,0,7,5,10,,,4,0,6,19,,,1.0,1.0,3.0,6.0,,,,,,
79,60.046875,42,,,,2,9,3,0,,,3,2,4,18,,,0,18,4,0,,,0,4,5,10,,,9,13,3,13,,,0,8,5,18,,,9,7,8,19,,,0,0,3,18,,,8,0,3,9,,,3,6,0,15,,,5.0,9.0,0.0,14.0,,,,,,
80,60.0625,42,,,,1,1,0,19,,,9,14,2,10,,,0,10,9,5,,,4,10,0,3,,,9,0,3,12,,,0,17,0,13,,,0,18,9,10,,,3,11,0,0,,,6,0,3,5,,,9,15,6,6,,,1.0,18.0,0.0,8.0,,,,,,
81,60.03125,42,,,,4,1,3,11,,,9,16,4,9,,,3,14,0,17,,,5,10,9,0,,,6,12,9,10,,,1,1,6,15,,,9,1,3,7,,,9,18,6,0,,,0,16,0,5,,,8,18,9,12,,,7.0,9.0,0.0,6.0,,,,,,
82,60.015625,42,,,,8,9,3,1,,,6,12,6,10,,,6,8,0,0,,,0,6,6,0,,,7,10,9,19,,,6,9,3,0,,,8,19,9,5,,,1,18,0,7,,,9,11,3,14,,,5,10,4,1,,,3.0,18.0,0.0,14.0,,,,,,
83,60.03125,42,,,,3,18,6,19,,,0,17,4,1,,,8,1,3,3,,,6,9,6,12,,,4,19,6,5,,,3,13,0,8,,,9,10,4,9,,,6,11,6,7,,,3,5,9,14,,,3,16,5,9,,,7.0,0.0,3.0,7.0,,,,,,
84,0.9375,42,23.0,3.0,2.0,1,0,3,0,19.0,18.0,0,10,9,19,6.0,5.0,6,14,5,10,11.0,10.0,9,18,7,10,14.0,13.0,9,2,6,12,23.0,22.0,6,3,0,19,9.0,8.0,0,4,3,3,11.0,10.0,4,0,3,9,19.0,18.0,3,1,9,13,15.0,14.0,9,7,6,18,,,,,,,13.0,10.0,6.0,0.0,7.0,9.0
85,60.046875,42,,,,3,10,9,9,,,7,1,3,6,,,3,13,3,16,,,3,14,1,1,,,9,7,6,11,,,6,1,3,7,,,0,17,6,16,,,6,19,3,15,,,6,4,4,1,,,5,1,3,19,,,7.0,0.0,2.0,10.0,,,,,,
86,60.015625,42,,,,0,14,8,10,,,8,19,1,9,,,0,10,0,18,,,3,5,8,0,,,6,13,9,13,,,0,15,9,3,,,6,12,7,10,,,7,1,2,9,,,3,3,9,9,,,0,2,0,19,,,9.0,6.0,9.0,5.0,,,,,,
87,60.03125,42,,,,2,19,5,19,,,7,18,6,17,,,0,16,7,19,,,3,0,9,14,,,6,14,6,3,,,9,10,6,6,,,9,9,2,10,,,7,9,3,3,,,1,10,6,8,,,9,15,0,7,,,5.0,18.0,3.0,5.0,,,,,,
88,60.046875,42,,,,6,19,9,15,,,9,17,6,6,,,5,9,3,10,,,3,14,1,0,,,3,19,9,12,,,6,15,9,2,,,5,19,9,3,,,0,2,3,6,,,5,18,3,5,,,6,17,4,18,,,9.0,5.0,6.0,9.0,,,,,,
89,60.03125,42,,,,8,18,9,17,,,3,6,0,2,,,8,10,7,9,,,2,9,9,19,,,3,14,7,18,,,9,9,2,1,,,9,14,0,12,,,9,11,4,10,,,3,4,6,8,,,9,1,4,0,,,9.0,12.0,6.0,17.0,,,,,,
