episode,cpu_time,seed,max_steps,agent_1_steps,agent_1_total_distance,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_2_steps,agent_2_total_distance,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_3_steps,agent_3_total_distance,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_4_steps,agent_4_total_distance,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_5_steps,agent_5_total_distance,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_6_steps,agent_6_total_distance,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_7_steps,agent_7_total_distance,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_0_steps,agent_0_total_distance,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
37,60.6875,42,,,,0,6,6,14,,,1,9,8,10,,,1,0,3,13,,,9,0,3,4,,,3,17,9,18,,,6,4,5,0,,,5.0,1.0,7.0,1.0,,,,,,
38,60.453125,42,,,,9,5,9,7,,,8,1,2,1,,,9,2,2,0,,,5,18,2,9,,,0,5,6,10,,,4,19,6,2,,,1.0,1.0,9.0,14.0,,,,,,
39,60.21875,42,,,,3,16,9,7,,,3,0,0,11,,,0,5,0,10,,,0,0,9,0,,,3,11,0,12,,,9,11,0,6,,,5.0,9.0,3.0,14.0,,,,,,
40,60.21875,42,,,,9,11,9,17,,,6,15,3,5,,,0,11,8,10,,,9,1,6,3,,,8,9,8,0,,,9,8,6,8,,,2.0,1.0,6.0,10.0,,,,,,
41,60.25,42,,,,6,7,5,1,,,8,0,9,16,,,7,1,9,3,,,0,15,9,0,,,8,19,4,1,,,5,18,3,12,,,3.0,5.0,6.0,15.0,,,,,,
42,60.5625,42,,,,6,10,0,19,,,2,9,3,16,,,2,18,6,6,,,0,7,2,0,,,0,16,3,7,,,3,18,3,10,,,4.0,10.0,5.0,0.0,,,,,,
43,60.203125,42,,,,3,10,2,1,,,7,1,3,2,,,3,5,8,1,,,3,18,9,14,,,3,12,6,13,,,1,1,9,10,,,6.0,15.0,9.0,3.0,,,,,,
44,60.546875,42,,,,4,10,4,18,,,7,19,6,11,,,3,6,1,10,,,4,1,8,10,,,5,18,6,0,,,9,15,5,10,,,9.0,2.0,7.0,18.0,,,,,,
45,60.171875,42,,,,6,9,6,5,,,0,8,6,16,,,3,1,5,0,,,1,0,9,3,,,7,1,9,10,,,0,4,0,15,,,1.0,10.0,9.0,14.0,,,,,,
46,60.25,42,,,,6,7,5,9,,,6,9,9,12,,,0,11,6,19,,,6,8,0,15,,,7,0,9,15,,,6,3,0,19,,,0.0,9.0,8.0,9.0,,,,,,
47,60.703125,42,,,,3,15,9,13,,,6,4,0,10,,,3,19,2,10,,,8,0,6,19,,,9,19,0,5,,,8,9,0,11,,,9.0,12.0,5.0,9.0,,,,,,
48,60.390625,42,,,,6,7,4,9,,,0,19,6,14,,,0,15,5,9,,,6,1,7,0,,,0,0,7,18,,,6,2,9,10,,,4.0,10.0,8.0,9.0,,,,,,
49,60.5625,42,,,,5,9,0,13,,,4,19,8,1,,,2,1,6,19,,,6,5,0,10,,,0,16,4,18,,,9,12,6,12,,,9.0,2.0,7.0,0.0,,,,,,
50,60.5625,42,,,,3,16,7,1,,,9,10,9,8,,,7,19,8,18,,,1,18,7,18,,,6,13,6,9,,,7,0,2,19,,,3.0,6.0,8.0,9.0,,,,,,
51,60.453125,42,,,,3,10,9,12,,,5,10,6,0,,,3,4,3,18,,,0,18,7,1,,,9,15,3,12,,,0,17,0,14,,,0.0,10.0,7.0,0.0,,,,,,
52,21.390625,42,23.0,23.0,22.0,6,0,0,16,23.0,11.0,9,14,3,11,8.0,6.0,9,12,6,11,16.0,15.0,3,9,9,18,9.0,8.0,8,0,0,0,13.0,12.0,6,7,6,19,,,,,,,14.0,13.0,1.0,0.0,4.0,10.0
53,60.5,42,,,,9,2,0,14,,,9,14,4,10,,,3,17,6,4,,,0,13,0,3,,,2,19,6,15,,,9,5,5,19,,,6.0,9.0,0.0,1.0,,,,,,
54,60.328125,42,,,,0,11,4,1,,,4,0,3,4,,,6,19,3,19,,,8,19,0,1,,,3,18,3,3,,,3,2,5,1,,,9.0,16.0,9.0,10.0,,,,,,
55,14.15625,42,29.0,18.0,17.0,8,0,6,15,22.0,21.0,5,19,3,0,21.0,20.0,0,12,9,1,17.0,9.0,3,13,6,13,29.0,28.0,9,19,0,2,11.0,10.0,0,5,0,15,,,,,,,7.0,6.0,7.0,1.0,9.0,5.0
56,60.34375,42,,,,6,11,2,9,,,6,8,2,1,,,0,10,4,0,,,6,14,0,16,,,9,8,9,3,,,9,4,8,0,,,0.0,3.0,8.0,10.0,,,,,,
57,60.328125,42,,,,1,9,0,18,,,0,1,0,5,,,9,9,8,19,,,3,1,6,6,,,6,12,9,17,,,0,4,8,9,,,0.0,0.0,9.0,15.0,,,,,,
58,60.609375,42,,,,2,1,9,16,,,3,1,9,11,,,9,2,0,13,,,2,9,7,19,,,0,6,6,16,,,6,13,8,19,,,8.0,9.0,9.0,1.0,,,,,,
59,61.015625,42,,,,3,19,5,0,,,0,4,5,18,,,4,0,7,9,,,1,10,5,19,,,0,13,6,9,,,0,14,0,9,,,6.0,16.0,9.0,2.0,,,,,,
60,60.890625,42,,,,4,0,2,19,,,0,18,0,11,,,8,18,6,18,,,7,1,5,9,,,0,6,9,17,,,1,9,7,9,,,0.0,1.0,6.0,6.0,,,,,,
61,60.453125,42,,,,5,1,9,6,,,0,6,4,1,,,0,8,6,18,,,6,7,3,15,,,0,0,1,0,,,0,4,3,11,,,1.0,19.0,0.0,10.0,,,,,,
62,60.359375,42,,,,7,19,8,0,,,1,1,2,10,,,3,11,6,9,,,9,17,9,5,,,6,4,6,2,,,4,1,3,19,,,5.0,18.0,0.0,16.0,,,,,,
63,60.71875,42,,,,2,9,2,10,,,9,13,6,11,,,5,18,3,19,,,3,2,0,18,,,3,16,0,17,,,6,3,4,1,,,6.0,17.0,5.0,0.0,,,,,,
64,60.21875,42,,,,6,16,9,13,,,3,14,3,0,,,9,9,0,10,,,4,10,3,3,,,0,15,6,7,,,0,13,3,17,,,9.0,16.0,8.0,1.0,,,,,,
65,60.375,42,,,,6,6,1,19,,,3,14,9,14,,,6,9,6,4,,,9,16,6,5,,,3,15,3,4,,,0,17,9,10,,,9.0,1.0,0.0,4.0,,,,,,
66,60.609375,42,,,,3,2,6,2,,,3,16,3,8,,,4,10,6,1,,,4,9,6,4,,,0,17,6,17,,,2,0,5,19,,,0.0,11.0,6.0,11.0,,,,,,
67,49.171875,42,27.0,8.0,7.0,6,11,1,9,15.0,14.0,6,7,3,18,9.0,8.0,3,4,5,10,6.0,5.0,2,9,6,8,14.0,13.0,8,1,3,9,23.0,20.0,3,7,9,15,,,,,,,27.0,18.0,6.0,4.0,5.0,19.0
68,60.59375,42,,,,5,1,9,2,,,8,10,5,0,,,7,1,5,9,,,6,0,2,19,,,9,6,8,9,,,0,14,2,9,,,9.0,10.0,3.0,4.0,,,,,,
69,8.5625,42,20.0,4.0,3.0,9,1,9,4,13.0,12.0,3,12,8,19,15.0,14.0,4,19,0,9,8.0,7.0,0,4,3,0,19.0,18.0,0,13,6,1,20.0,13.0,0,6,3,6,,,,,,,7.0,6.0,5.0,9.0,0.0,8.0
70,60.5,42,,,,4,18,0,1,,,1,0,3,18,,,7,0,8,19,,,3,4,6,17,,,0,7,9,3,,,7,9,3,16,,,9.0,8.0,3.0,11.0,,,,,,
71,60.53125,42,,,,6,18,3,10,,,0,17,9,15,,,2,1,0,8,,,6,5,9,19,,,6,13,4,0,,,0,13,7,19,,,5.0,0.0,3.0,17.0,,,,,,
72,33.03125,42,25.0,11.0,10.0,7,19,6,10,13.0,12.0,6,15,3,6,16.0,15.0,0,16,0,1,4.0,3.0,6,17,6,14,25.0,16.0,7,10,1,18,6.0,5.0,3,12,5,9,,,,,,,23.0,15.0,3.0,4.0,9.0,11.0
73,60.5,42,,,,4,9,9,18,,,0,18,9,15,,,6,18,6,0,,,0,19,1,10,,,3,16,8,9,,,9,1,6,11,,,9.0,10.0,0.0,16.0,,,,,,
74,60.5625,42,,,,5,0,7,10,,,3,19,0,4,,,9,1,3,18,,,3,13,4,10,,,3,6,4,9,,,0,9,9,10,,,9.0,0.0,0.0,17.0,,,,,,
75,36.3125,42,28.0,19.0,11.0,1,0,1,9,10.0,9.0,2,9,3,1,20.0,16.0,9,9,4,18,7.0,6.0,9,13,9,19,28.0,17.0,0,5,6,4,11.0,10.0,6,9,6,19,,,,,,,4.0,3.0,3.0,3.0,2.0,1.0
76,60.46875,42,,,,4,19,6,9,,,0,1,6,0,,,0,9,6,11,,,2,19,3,15,,,2,9,6,13,,,9,1,8,9,,,9.0,3.0,7.0,18.0,,,,,,
77,60.375,42,,,,6,7,3,7,,,0,6,9,12,,,7,0,9,1,,,3,10,3,6,,,7,9,4,10,,,5,18,5,10,,,9.0,6.0,7.0,19.0,,,,,,
78,60.265625,42,,,,6,15,6,4,,,9,2,0,13,,,3,10,3,12,,,5,0,3,7,,,3,17,6,3,,,9,9,4,19,,,3.0,3.0,5.0,10.0,,,,,,
79,60.34375,42,,,,5,1,6,9,,,0,12,3,13,,,0,2,1,0,,,3,14,0,0,,,9,19,3,7,,,9,10,3,4,,,6.0,8.0,1.0,9.0,,,,,,
80,16.15625,42,31.0,15.0,14.0,0,2,0,16,2.0,1.0,6,6,6,5,14.0,13.0,9,11,6,1,25.0,22.0,6,16,0,0,20.0,19.0,3,19,3,0,31.0,22.0,3,16,0,19,,,,,,,18.0,16.0,2.0,18.0,3.0,3.0
81,60.28125,42,,,,6,17,9,5,,,5,9,4,10,,,6,9,9,18,,,6,18,7,18,,,9,17,6,11,,,8,10,9,8,,,6.0,7.0,5.0,1.0,,,,,,
82,60.328125,42,,,,6,19,0,8,,,3,1,0,13,,,9,15,5,0,,,6,8,7,0,,,8,0,8,10,,,4,1,3,19,,,9.0,4.0,6.0,11.0,,,,,,
83,12.6875,42,24.0,21.0,20.0,9,15,3,1,11.0,10.0,6,11,8,19,20.0,19.0,3,16,7,1,10.0,9.0,9,16,7,9,10.0,9.0,0,12,6,9,17.0,16.0,9,18,3,8,,,,,,,24.0,23.0,6.0,0.0,0.0,17.0
84,60.28125,42,,,,0,0,4,18,,,0,14,9,5,,,3,2,9,18,,,0,4,9,3,,,5,0,4,1,,,8,0,3,5,,,9.0,15.0,9.0,17.0,,,,,,
85,60.484375,42,,,,2,9,6,0,,,3,15,5,18,,,0,8,8,10,,,8,9,2,18,,,6,11,9,11,,,0,9,3,19,,,1.0,19.0,8.0,19.0,,,,,,
86,60.296875,42,,,,2,1,0,12,,,0,4,9,12,,,0,6,6,14,,,3,11,7,18,,,9,14,6,18,,,0,5,6,12,,,3.0,10.0,7.0,19.0,,,,,,
87,60.515625,42,,,,0,0,9,9,,,9,4,2,1,,,7,1,0,11,,,3,13,6,8,,,8,9,9,3,,,3,12,3,19,,,0.0,5.0,9.0,14.0,,,,,,
88,60.484375,42,,,,5,1,6,17,,,2,18,9,7,,,6,14,6,6,,,5,10,6,13,,,0,3,2,10,,,7,18,2,1,,,3.0,14.0,3.0,16.0,,,,,,
89,60.421875,42,,,,9,2,6,4,,,5,9,4,0,,,3,8,3,14,,,8,0,0,13,,,9,8,2,19,,,3,2,5,19,,,6.0,18.0,9.0,6.0,,,,,,
90,10.234375,42,20.0,18.0,16.0,1,1,8,10,6.0,5.0,6,14,5,10,20.0,19.0,0,9,9,19,8.0,6.0,3,7,6,10,4.0,3.0,4,0,3,2,2.0,1.0,6,19,7,19,,,,,,,20.0,19.0,9.0,4.0,3.0,17.0
91,60.453125,42,,,,3,15,9,3,,,5,10,6,17,,,0,15,7,1,,,0,13,6,5,,,6,2,0,6,,,1,1,3,13,,,9.0,19.0,4.0,19.0,,,,,,
92,60.46875,42,,,,9,10,0,9,,,1,19,0,7,,,4,19,3,8,,,3,7,1,10,,,0,15,6,0,,,0,11,0,2,,,3.0,10.0,3.0,3.0,,,,,,
93,7.609375,42,15.0,8.0,7.0,9,15,5,18,12.0,11.0,6,9,9,17,12.0,11.0,9,6,3,1,2.0,1.0,3,7,3,8,15.0,14.0,3,16,9,8,10.0,8.0,7,10,3,12,,,,,,,2.0,1.0,4.0,0.0,5.0,0.0
94,60.578125,42,,,,2,1,9,18,,,6,1,7,9,,,3,5,1,19,,,9,7,6,4,,,9,9,6,7,,,3,3,6,11,,,5.0,10.0,0.0,2.0,,,,,,
95,60.453125,42,,,,3,2,9,5,,,9,3,0,0,,,2,1,3,0,,,3,5,0,7,,,1,0,6,1,,,0,18,2,10,,,3.0,8.0,8.0,1.0,,,,,,
96,55.421875,42,32.0,7.0,6.0,8,0,6,4,6.0,5.0,6,9,6,14,19.0,11.0,3,18,2,10,21.0,16.0,9,3,8,18,6.0,5.0,4,10,6,13,9.0,8.0,9,14,9,8,,,,,,,32.0,23.0,6.0,3.0,9.0,19.0
97,60.40625,42,,,,2,18,0,11,,,8,1,3,17,,,4,9,6,11,,,1,1,3,4,,,0,19,9,14,,,6,1,8,0,,,3.0,5.0,5.0,1.0,,,,,,
98,9.984375,42,21.0,17.0,16.0,3,18,0,5,10.0,9.0,0,16,2,9,21.0,12.0,0,4,6,2,18.0,17.0,9,15,0,7,20.0,19.0,7,1,9,18,16.0,15.0,0,11,4,0,,,,,,,17.0,16.0,9.0,12.0,3.0,2.0
99,60.609375,42,,,,2,18,6,9,,,5,1,3,12,,,8,1,8,0,,,3,4,0,7,,,0,5,9,8,,,9,2,6,16,,,0.0,12.0,4.0,0.0,,,,,,
100,60.453125,42,,,,1,18,0,17,,,9,17,0,0,,,3,3,3,1,,,4,18,0,13,,,3,13,9,4,,,2,0,0,18,,,3.0,16.0,0.0,12.0,,,,,,
